dateTime,source,energy,distance
2022-03-25 20:08:42.732565,3,0,63
2022-03-25 20:08:42.812718,3,0,63
2022-03-25 20:08:42.908165,3,0,63
2022-03-25 20:08:42.988262,3,0,63
2022-03-25 20:08:43.083802,3,0,63
2022-03-25 20:08:43.163902,3,0,63
2022-03-25 20:08:43.264438,3,0,63
2022-03-25 20:08:43.339597,3,0,63
2022-03-25 20:08:43.435098,3,0,63
2022-03-25 20:08:43.515201,3,0,63
2022-03-25 20:08:43.610708,3,0,63
2022-03-25 20:08:43.690809,3,0,63
2022-03-25 20:08:43.770913,3,0,63
2022-03-25 20:08:43.866468,3,0,63
2022-03-25 20:08:43.946484,3,0,63
2022-03-25 20:08:44.042076,3,0,63
2022-03-25 20:08:44.122257,3,0,63
2022-03-25 20:08:44.217763,3,0,63
2022-03-25 20:08:44.297821,3,0,63
2022-03-25 20:08:44.393364,3,0,63
2022-03-25 20:08:44.504932,3,0,63
2022-03-25 20:08:44.568997,3,0,63
2022-03-25 20:08:44.649041,3,0,63
2022-03-25 20:08:44.744636,3,0,63
2022-03-25 20:08:44.824701,3,0,63
2022-03-25 20:08:44.920284,3,0,63
2022-03-25 20:08:45.000270,3,0,63
2022-03-25 20:08:45.095882,3,0,63
2022-03-25 20:08:45.175931,3,0,63
2022-03-25 20:08:45.271548,3,0,63
2022-03-25 20:08:45.351696,3,0,63
2022-03-25 20:08:45.447131,3,0,63
2022-03-25 20:08:45.527180,3,0,63
2022-03-25 20:08:45.622797,3,0,63
2022-03-25 20:08:45.702850,3,0,63
2022-03-25 20:08:45.798431,3,0,63
2022-03-25 20:08:45.878496,3,0,63
2022-03-25 20:08:45.958546,3,0,63
2022-03-25 20:08:46.054077,3,0,63
2022-03-25 20:08:46.134237,3,0,63
2022-03-25 20:08:46.229682,3,0,63
2022-03-25 20:08:46.309767,3,0,63
2022-03-25 20:08:46.405307,3,0,63
2022-03-25 20:08:46.485417,3,0,63
2022-03-25 20:08:46.581007,3,0,63
2022-03-25 20:08:46.661013,3,0,63
2022-03-25 20:08:46.756599,3,0,63
2022-03-25 20:08:46.836736,3,0,63
